"estimator","minimum_distance","scenario","dimension","mc","p_shape"
"DCov",0.0436024218878731,4,2,1,0.5
"DCov",0.0378107597170368,4,2,2,0.5
"DCov",0.0233394949932688,4,2,3,0.5
"DCov",0.0591950946322247,4,2,4,0.5
"fastICA",0.0571504616611045,4,2,1,0.5
"fastICA",0.0386291526944198,4,2,2,0.5
"fastICA",0.0494291913239993,4,2,3,0.5
"fastICA",0.040809575927369,4,2,4,0.5
"KernelICA",0.0979393012981662,4,2,1,0.5
"KernelICA",0.210716701260448,4,2,2,0.5
"KernelICA",0.108085523553874,4,2,3,0.5
"KernelICA",0.671321684396811,4,2,4,0.5
"CvM",0.0416439126501152,4,2,1,0.5
"CvM",0.0740983533564641,4,2,2,0.5
"CvM",0.0318780967240388,4,2,3,0.5
"CvM",0.123623773269007,4,2,4,0.5
"DCov",0.056290286047978,4,2,1,0.71
"DCov",0.0292535412570898,4,2,2,0.71
"DCov",0.0108949651789431,4,2,3,0.71
"DCov",0.0159872968915386,4,2,4,0.71
"fastICA",0.0613987454989958,4,2,1,0.71
"fastICA",0.0671645968056304,4,2,2,0.71
"fastICA",0.0398589841163309,4,2,3,0.71
"fastICA",0.00893610164393844,4,2,4,0.71
"KernelICA",0.523626337115147,4,2,1,0.71
"KernelICA",0.0418794013758884,4,2,2,0.71
"KernelICA",0.0890706698671534,4,2,3,0.71
"KernelICA",0.200496712363382,4,2,4,0.71
"CvM",0.0746093325210615,4,2,1,0.71
"CvM",0.240061872963685,4,2,2,0.71
"CvM",0.0503278043737646,4,2,3,0.71
"CvM",0.0462966595116176,4,2,4,0.71
"DCov",0.0652450282747279,4,2,1,0.93
"DCov",0.0417602073681479,4,2,2,0.93
"DCov",0.00238695354705185,4,2,3,0.93
"DCov",0.0866971845306462,4,2,4,0.93
"fastICA",0.113614545066593,4,2,1,0.93
"fastICA",0.0632720750540051,4,2,2,0.93
"fastICA",0.0226539541186381,4,2,3,0.93
"fastICA",0.071005651053812,4,2,4,0.93
"KernelICA",0.097609518904135,4,2,1,0.93
"KernelICA",0.146862368458497,4,2,2,0.93
"KernelICA",0.490842878183357,4,2,3,0.93
"KernelICA",0.342650563942021,4,2,4,0.93
"CvM",0.321729348470138,4,2,1,0.93
"CvM",0.083554251818503,4,2,2,0.93
"CvM",0.3420706710606,4,2,3,0.93
"CvM",0.0881408691914008,4,2,4,0.93
"DCov",0.110775747278777,4,2,1,1.14
"DCov",0.0720851487335028,4,2,2,1.14
"DCov",0.0402646621285194,4,2,3,1.14
"DCov",0.0180145366439271,4,2,4,1.14
"fastICA",0.097600943797873,4,2,1,1.14
"fastICA",0.0630138565777529,4,2,2,1.14
"fastICA",0.0377852205752448,4,2,3,1.14
"fastICA",0.138149878686726,4,2,4,1.14
"KernelICA",0.130336026201043,4,2,1,1.14
"KernelICA",0.0159152503643608,4,2,2,1.14
"KernelICA",0.0432083147949484,4,2,3,1.14
"KernelICA",0.252134654879202,4,2,4,1.14
"CvM",0.316952981949607,4,2,1,1.14
"CvM",0.0465909634759624,4,2,2,1.14
"CvM",0.062767995917973,4,2,3,1.14
"CvM",0.330120197832787,4,2,4,1.14
"DCov",0.0618828965104793,4,2,1,1.36
"DCov",0.170685020647446,4,2,2,1.36
