obs,ETAXY,EGCNY,GG,TT,XX,GCN,TAX,GDP,POP,PGDP
46Q1,NA,0,NA,NA,NA,NA,NA,210.399993896484,NA,NA
46Q2,NA,0,NA,NA,NA,NA,NA,218.5,NA,NA
46Q3,NA,0,NA,NA,NA,NA,NA,228.600006103516,NA,NA
46Q4,NA,0,NA,NA,NA,NA,NA,232.800003051758,NA,NA
47Q1,NA,0,-11.1067197225904,NA,-9.23428552671312,36.5,NA,237.399993896484,143622.666666667,16.9300003051758
47Q2,NA,0,-11.1045725374434,NA,-9.22296740302225,36.6999998092651,NA,240.899993896484,144270.333333333,16.9099998474121
47Q3,NA,0,-11.1229061416267,NA,-9.21855208677895,36.5,NA,245.100006103516,144939,17.0499992370605
47Q4,NA,0,-11.1588396324819,NA,-9.20939386012068,36.3000011444092,NA,255,145659.666666667,17.4899997711182
48Q1,NA,0,-11.1337039095395,NA,-9.20225925919405,37.8000011444092,NA,260.799987792969,146241.333333333,17.6900005340576
48Q2,NA,0,-11.0946243142788,NA,-9.192890014625,40,NA,267.899993896484,146829.666666667,17.9300003051758
48Q3,NA,0,-11.0815747782481,NA,-9.19508808107663,41.6000003814697,NA,274.399993896484,147434,18.3299999237061
48Q4,NA,0,-11.0387896415131,NA,-9.19874752037807,43.7999992370605,NA,275.799987792969,148163.666666667,18.3999996185303
49Q1,NA,0,-10.9895328713461,NA,-9.21535624180954,45.8999996185303,NA,270.600006103516,148775,18.2800006866455
49Q2,NA,0,-10.9467104984875,NA,-9.22341879078029,47.6000003814697,NA,266.700012207031,149370.333333333,18.0900001525879
49Q3,NA,0,-10.9490594666363,NA,-9.2163216192817,47.3999996185303,NA,268.100006103516,150004.666666667,17.9799995422363
49Q4,NA,0,-10.9665950028796,NA,-9.23224481215784,46.9000015258789,NA,265.700012207031,150712.666666667,18.0200004577637
50Q1,NA,0,-10.9912877160679,NA,-9.19517092481281,45.7999992370605,NA,276,151530,17.9400005340576
50Q2,NA,0,-10.9857305169175,NA,-9.16948875249553,46.3999996185303,NA,285.299987792969,152071,18.0100002288818
50Q3,NA,0,-11.0169889104791,NA,-9.13689624383121,46.2000007629395,NA,302.799987792969,152746,18.4200000762939
50Q4,NA,0,-10.9630156044658,NA,-9.12036457033464,49.8000011444092,NA,314.399993896484,153415.333333333,18.7299995422363
51Q1,NA,0,-10.8597064971162,NA,-9.11565271749826,57.6000003814697,NA,329.5,154024.666666667,19.4599990844727
51Q2,NA,0,-10.7475120957678,NA,-9.10151969597365,64.9999980926514,NA,337.100006103516,154650.666666667,19.5499992370605
51Q3,NA,0,-10.6393524776499,NA,-9.08642679119902,72.8000011444092,NA,344,155372.666666667,19.5599994659424
51Q4,NA,0,-10.5879474184086,NA,-9.09002216341335,77.9000015258789,NA,348.399993896484,156091.333333333,19.7900009155273
52Q1,NA,0,-10.5719705740826,NA,-9.08369033932071,79.3999977111816,NA,351.700012207031,156733.666666667,19.7700004577637
52Q2,NA,0,-10.5304411947708,NA,-9.08783913542968,83.3000011444092,NA,352.5,157345.333333333,19.8199996948242
52Q3,NA,0,-10.525261430703,NA,-9.08542624618439,84.9999980926514,NA,358.700012207031,158052.333333333,20.0300006866455
52Q4,NA,0,-10.5038744307881,NA,-9.05937577882692,87.5999984741211,NA,371.399993896484,158727,20.1200008392334
53Q1,NA,0,-10.4809325322887,NA,-9.04341437542918,89.8999977111816,NA,378.5,159358.333333333,20.1000003814697
